fast_moving_model_name,scrape_db_name
WAGON R FX,WAGON R FX
Wagon R FZ,WAGON R FZ
Wagon R Stringrey,WAGON R STINGRAY
Vezel X grade ,VEZEL
Vezel Z grade ,VEZEL
Vezel Rs Sensing ,VEZEL
Aqua L Grade,AQUA
Aqua S Grade,AQUA
Aqua G Grade,AQUA
Aqua X Grade,AQUA
Aqua GS Grade,AQUA
Aqua S Limited,AQUA
Aqua X Urban,AQUA
Aqua GS Urban,AQUA
Aqua G Sport,AQUA
Axio X Grade,Axio
Axio S Grade,Axio
Axio G Grade,Axio
Premio F Grade,Premio
Premio G Grade,Premio
Premio G superior ,Premio
Premio F Grade ,Premio
PA Model,PA Model
Join Turbo,Join Turbo
Every Wagon,Every Wagon
CHR NGX-50,CHR
CHR NGX-10,CHR
Raize X Grade,Raize
Raize G Grade,Raize
Raize Z Grade,Raize
WAGON R Z,WAGON R Z
WAGON R Stingray,WAGON R STINGRAY
X grade,X grade
X Hunt,X Hunt
Vezel Z,Vezel
Vezel Z Play,Vezel
TRJ-150W-Petrol,TRJ-150W-Petrol
TRJ-150W-Diesel,TRJ-150W-Diesel
Toyota Prado 250,Prado
