manufacturer,erp_name,mapped_name
BMW,520D M SOPRT,520D
BMW,X5,X5
BMW,320D,320D
BMW,520D,520D
BMW,320D MODERN,320D
BMW,520D SPORTS PACKAGE,520D
BMW,520I,520I
BMW,523IAE60,523I
BMW,I3,I3
BMW,520IA,520I
BMW,730D SE AUTO,730D
BMW,X1D,X1
BMW,X5 X DRIVE 40E M SPORT AUTO,X5
BMW,740LE,740LE
BMW,520D M-SPORT,520D
BMW,I8,I8
BMW,740LI,740LI
BMW,X1,X1
BMW,X2,X2
BMW,X5 XDRIVE40E M SPORT,X5
BMW,ZAA-1Z00 I3,I3
BMW,X5 40E PLUG IN HYBRID,X5
BMW,X5 M-SPORT E DRIVE,X5
BMW,X1 SDRIVE 18I,X1
BMW,X5 40E,X5
BMW,530E M SPORT,530E
BMW,318I,318I
BMW,X1 ABA-JG15,X1
BMW,X5 X DRIVE 40E,X5
BMW,X3,X3
BMW,X DRIVE 320D M SPORT,320D
BMW,740LE M SPORT,740LE
BMW,DLA-7D20 740E,740E
BMW,18 i-S DRIVE (X2),X2
BMW,DBA YH15 X2,X2
BMW,I3 TERRA WORLD PACKAGE,I3
BMW,X1-PETROL,X1
BMW,320I,320I
BMW,X5 PLUG IN HYBRID,X5
BMW,530E SALOON,530E
BMW,740LE X DRIVE,740LE
BMW,523I,523I
BMW,X1 SDRIVE 181M SPORT AUTO,X1
BMW,520D M SPORT AUTO,520D
BMW,DBA-HS15X1,X1
BMW,X3D,X3
BMW,X1 S DRIVE18I,X1
BMW,530E M SPORT  AUTO,530E
BMW,X1 S DRIVE 181M SPORT,X1
BMW,X3 D,X3
BMW,X1 SDRIVE 181M,X1
BMW,730D,730D
BMW,X1 SDRIVE,X1
BMW,523I M SPORT AUTO,523I
BMW,X1 M SPORT,X1
BMW,X5 40EM SPORT,X5
BMW,740LE M SPORT AUTO,740LE
BMW,523I A,523I
BYD,ATTO 3 EXTENDED,ATTO 3 EXTENDED
BYD,ATTO 3 STANDARD,ATTO 3 STANDARD
BYD,ATTO 3 ADVANCED,ATTO 3 ADVANCED
BYD,ATTO 3 SUPERIOR,ATTO 3 SUPERIOR
BYD,SEALION 6 SUPERIOR,SEALION 6 SUPERIOR
BYD,SEALION 6 PREMIUM,SEALION 6 PREMIUM
BYD,DOLPHIN STD,DOLPHIN STD
BYD,DOLPHIN DYNAMIC 49,DOLPHIN DYNAMIC 49
BYD,DOLPHIN DYNAMIC 70,DOLPHIN DYNAMIC 70
BYD,DOLPHIN PREMIUM 99,DOLPHIN PREMIUM 99
BYD,DOLPHIN PREMIUM 150,DOLPHIN PREMIUM 150
BYD,M6 STANDARD CAPTAIN,M6 STANDARD CAPTAIN
BYD,M6 STANDARD,M6 STANDARD
BYD,M6 SUPERIOR CAPTAIN,M6 SUPERIOR CAPTAIN
BYD,M6 SUPERIOR,M6 SUPERIOR
BYD,SEAL DYNAMIC,SEAL DYNAMIC
BYD,SEAL PREMIUM,SEAL PREMIUM
BYD,SEAL PERFORMANCE,SEAL PERFORMANCE
BYD,SHARK PREMIUM,SHARK PREMIUM
BYD,SHARK,SHARK
DAIHATSU,MOVE,MOVE
DAIHATSU,TERIOS,TERIOS
DAIHATSU,CHARADE,CHARADE
DAIHATSU,MIRA,MIRA
DAIHATSU,MIRA E.S,MIRA
DAIHATSU,FC11-TERIOS,TERIOS
DAIHATSU,BOON XLS,BOON
DAIHATSU,DBA-LA600S TANTO,TANTO
DAIHATSU,COPEN ROBE,COPEN
DAIHATSU,MOVE CONTE,MOVE
DAIHATSU,TANTO,TANTO
DAIHATSU,DBA-LA350S  MIRA,MIRA
DAIHATSU,COPEN,COPEN
DAIHATSU,DBA-LA300S-MIRA E.S,MIRA
DAIHATSU,DBA-LA350S  MIRA ES,MIRA
DAIHATSU,DBA-LA150S/MOVE,MOVE
DAIHATSU,DBA-LA300S MIRA,MIRA
DAIHATSU,DBA-M300S BOON,BOON
DAIHATSU,CHARADE-G100RS,CHARADE
DAIHATSU,TERIOS PREMIUM,TERIOS
DAIHATSU,DBA-M700S BOON,BOON
HONDA,CITY,CITY
HONDA,CIVIC,CIVIC
HONDA,GRAND CIVIC,CIVIC
HONDA,CIVIC EK3,CIVIC
HONDA,HONDA CRV,CRV
HONDA,HONDA HRV,HRV
HONDA,CIVIC HYBRID,CIVIC
HONDA,INSIGHT HYBRID,INSIGHT
HONDA,HONDA ACTY,ACTY
HONDA,UA-ESI-CIVIC,CIVIC
HONDA,ACTY LORRY,ACTY
HONDA,INSIGHT,INSIGHT
HONDA,LA-GD8,FIT
HONDA,E-EG8,CIVIC
HONDA,GD-HA6,ACTY
HONDA,DBA-GD8,FIT
HONDA,CIVIC EXI,CIVIC
HONDA,DAA-ZE2,INSIGHT
HONDA,FD3,CIVIC
HONDA,CITY VTEC 4M,CITY
HONDA,DAA-GP1,FIT
HONDA,EG8 CIVIC,CIVIC
HONDA,GD-HH5,ACTY
HONDA,DBA-GD1 FIT,FIT
HONDA,DBA-FD1 CIVIC,CIVIC
HONDA,FIT HYBRID,FIT
HONDA,DAA-GP2 (FIT SHUTTLE),SHUTTLE
HONDA,FIT HYBRID (GP1),FIT
HONDA,GH-CF3-ACCORD,ACCORD
HONDA,FIT DBA-GE6,FIT
HONDA,DAA-GP3,FIT
HONDA,LA-GD1,FIT
HONDA,GBD-HH6,ACTY
HONDA,DAA-GP1 FIT,FIT
HONDA,V-HH4,ACTY
HONDA,DAA-GP4,FIT
HONDA,GBD-HH5,ACTY
HONDA,FREED,FREED
HONDA,DAA ZF1 -CRZ,CRZ
HONDA,DBA-GD6 FIT ARIA,FIT ARIA
HONDA,CITY VTEC 4A,CITY
HONDA,FIT ( SHUTTLE ),SHUTTLE
HONDA,DBA-GD9,FIT
HONDA,CIVIC EG7,CIVIC
HONDA,DAA-GP2,FIT
HONDA,CRX,CIVIC
HONDA,ACCORD EXI,ACCORD
HONDA,DAA-GP3-SPIKE,FREED
HONDA,FIT RS-HYBRID,FIT
HONDA,DAA-ZF2,CRZ
HONDA,DAA-GP5,FIT
HONDA,VEZEL RU3 Z,VEZEL
HONDA,DAA-ZE3,INSIGHT
HONDA,GF-EK2,CIVIC
HONDA,CITY 4M,CITY
